"Streckennummer","Streckenabschnitt","Gleisart", "Länge","Höchstgeschwindigkeit","Bremsweg"
"2010","Münster Pleister - Sudmühle","Gegengleis","3,0","80","1000 m Bremsweg"
"2010","Münster Pleister - Sudmühle","Richtungsgleis","3,0","80","1000 m Bremsweg"
"2153","Gelsenkirchen Zoo - Gelsenkirchen-Bismarck","Gegengleis","0,2","90","1000 m Bremsweg"
"2153","Gelsenkirchen Zoo - Gelsenkirchen-Bismarck","Richtungsgleis","0,2","90","1000 m Bremsweg"
"2250","Oberhausen-Osterfeld - Oberhausen Hochstraße","Gegengleis","1,8","100","1000 m Bremsweg"
"2250","Oberhausen-Osterfeld - Oberhausen Hochstraße","Richtungsgleis","1,8","100","1000 m Bremsweg"
"2291","Essen-Eiberg - Wattenscheid-Höntrop","Gegengleis","3,8","120","1000 m Bremsweg"
"2291","Essen-Eiberg - Wattenscheid-Höntrop","Richtungsgleis","3,8","120","1000 m Bremsweg"
"2324","Troisdorf - Friedrich-Wilhelms-Hütte","Gegengleis","1,6","120","1000 m Bremsweg"
"2324","Troisdorf - Friedrich-Wilhelms-Hütte","Richtungsgleis","1,6","120","1000 m Bremsweg"
"2324","Friedrich-Wilhelms-Hütte - Menden (Rheinl)","Gegengleis","2,6","120","1000 m Bremsweg"
"2324","Friedrich-Wilhelms-Hütte - Menden (Rheinl)","Richtungsgleis","2,6","120","1000 m Bremsweg"
"2413","Düsseldorf-Oberbilk - Düsseldorf-Wersten","Gegengleis","0,2","100","1000 m Bremsweg"
"2413","Düsseldorf-Oberbilk - Düsseldorf-Wersten","Richtungsgleis","0,2","100","1000 m Bremsweg"
"2525","Wuppertal-Sonnborn - Wuppertal Zoologischer Garten","Gegengleis","0,8","100","700 m Bremsweg"
"2525","Wuppertal-Sonnborn - Wuppertal Zoologischer Garten","Richtungsgleis","0,8","100","700 m Bremsweg"
"2622","Merzenich - Merzenich Üst","Gegengleis","0,8","140","1000 m Bremsweg"
"2622","Merzenich - Merzenich Üst","Richtungsgleis","0,8","140","1000 m Bremsweg"
"2273","Coesfeld (Westf) - Coesfeld Schulzentrum","eingleisig","1,5","100","700 m Bremsweg"
"2273","Coesfeld Schulzentrum - Lutum Streckenwechsel 2273/2265","eingleisig","4,7","100","700 m Bremsweg"
"2120","Dortmund-Dorstfeld - Dortmund Dortmunderfeld","Gegengleis","0,8","60","1000 m Bremsweg"
"2120","Dortmund-Dorstfeld - Dortmund Dortmunderfeld","Richtungsgleis","0,8","60","700 m Bremsweg"
"2206","Essen-Karnap - Bottrop Süd","Gegengleis","3,5","80","700 m Bremsweg"
"2206","Essen-Karnap - Bottrop Süd","Richtungsgleis","3,5","80","700 m Bremsweg"
"2274","Duisburg-Meiderich Ost - Duisburg-Meiderich Süd","Gegengleis","1,5","100","700 m Bremsweg"
"2274","Duisburg-Meiderich Ost - Duisburg-Meiderich Süd","Richtungsgleis","1,5","100","700 m Bremsweg"
"2315","Duisburg-Wanheim - Duisburg Mannesmann","eingleisig","2,8","50","700 m Bremsweg"
"2315","Duisburg-Hochfeld Süd, 06W15 - Duisburg-Wanheim","Gegengleis","4,0","50","700 m Bremsweg"
"2315","Duisburg-Hochfeld Süd, 06W15 - Duisburg-Wanheim","Richtungsgleis","4,0","50","700 m Bremsweg"
"2331","Duisburg-Meiderich Süd - Duisburg-Meiderich Ost","Gegengleis","1,3","70","1000 m Bremsweg"
"2331","Duisburg-Meiderich Süd - Duisburg-Meiderich Ost","Richtungsgleis","1,3","70","700 m Bremsweg"
"2654","Köln Messe/Deutz - Köln Deutzerfeld","eingleisig","0,3","auf Anfrage","auf Anfrage"
"2650","Dortmund Zinkhütte - Dortmund-Körne (Abzw)","Gegengleis","1,9","200","1000 m Bremsweg"
"2650","Dortmund Zinkhütte - Dortmund-Körne (Abzw)","Richtungsgleis","1,9","200","1000 m Bremsweg"
"2265","Münster-Roxel - Mecklenbeck","eingleisig","4,6","80","700 m Bremsweg"
"2265","Havixbeck - Münster-Roxel","eingleisig","8,7","80","700 m Bremsweg"
"2801","Dortmund-Barop - Dortmund Dfd","Gegengleis","3,5","140","1000 m Bremsweg"
"2801","Dortmund-Barop - Dortmund Dfd","Richtungsgleis","3,5","140","1000 m Bremsweg"
"2271","Walsum - Möllen (Niederrhein)","eingleisig","5,6","60","700 m Bremsweg"
"2630","Roisdorf - Bonn Gbf","Gegengleis","4,4","160","1000 m Bremsweg"
"2630","Roisdorf - Bonn Gbf","Richtungsgleis","4,4","160","1000 m Bremsweg"
"2630","Brühl Gbf - Brühl","Gegengleis","1,7","160","1000 m Bremsweg"
"2630","Brühl Gbf - Brühl","Richtungsgleis","1,7","160","1000 m Bremsweg"
"2630","Bonn Gbf - Bonn Hbf","Gegengleis","1,8","160","1000 m Bremsweg"
"2630","Bonn Gbf - Bonn Hbf","Richtungsgleis","1,8","160","1000 m Bremsweg"
"2651","Hennef Im Siegbogen - Blankenberg (Sieg)","Gegengleis","2,6","140","1000 m Bremsweg"
"2651","Hennef Im Siegbogen - Blankenberg (Sieg)","Richtungsgleis","2,6","140","1000 m Bremsweg"
"2651","Hennef (Sieg) - Hennef Im Siegbogen","Gegengleis","1,9","140","1000 m Bremsweg"
"2651","Hennef (Sieg) - Hennef Im Siegbogen","Richtungsgleis","1,9","140","1000 m Bremsweg"
"2655","Porz-Heumar, W 3109 - Porz-Heumar","eingleisig","1,6","100","700 m Bremsweg"
"2657","Ründeroth - Osberghausen","eingleisig","2,9","60","700 m Bremsweg"
"2657","Osberghausen - Gummersbach-Dieringhausen","eingleisig","4,9","70","700 m Bremsweg"
"2670","Düsseldorf-Eller Süd - Düsseldorf-Oberbilk","Gegengleis","2,2","160","1000 m Bremsweg"
"2670","Düsseldorf-Eller Süd - Düsseldorf-Oberbilk","Richtungsgleis","2,2","160","1000 m Bremsweg"
"2670","Düsseldorf-Oberbilk - Düsseldorf-Wersten","eingleisig","0,3","140","1000 m Bremsweg"
"2692","Köln Flughafen Nordost - Köln Frankfurter Straße","Gegengleis","1,4","100","1000 m Bremsweg"
"2692","Köln Flughafen Nordost - Köln Frankfurter Straße","Richtungsgleis","1,4","100","1000 m Bremsweg"
"2236","Gladbeck-Zweckel - Feldhausen","Gegengleis","3,1","100","700 m Bremsweg"
"2236","Gladbeck-Zweckel - Feldhausen","Richtungsgleis","3,1","100","700 m Bremsweg"
"2291","Essen-Steele - Essen-Eiberg","Gegengleis","2,7","120","1000 m Bremsweg"
"2291","Essen-Steele - Essen-Eiberg","Richtungsgleis","2,7","120","1000 m Bremsweg"
"2153","Bochum West - Bochum-Hamme","eingleisig","1,3","60","1000 m Bremsweg"
"2524","Rheydt Gbf - Mönchengladbach-Rheindahlen","eingleisig","5,6","100","700 m Bremsweg"
"2522","Viersen-Helenabrunn - Rheydt Gbf, 60W239","eingleisig","11,7","90","700 m Bremsweg"
"2550","Wickrath - Rheydt Gbf","Gegengleis","2,8","160","1000 m Bremsweg"
"2550","Wickrath - Rheydt Gbf","Richtungsgleis","2,8","160","1000 m Bremsweg"
"2550","Rheydt Gbf - Rheydt Hbf","Gegengleis","1,1","160","1000 m Bremsweg"
"2550","Rheydt Gbf - Rheydt Hbf","Richtungsgleis","1,1","160","1000 m Bremsweg"
"2617","Köln Hbf, W 72 - Köln Bbf","eingleisig","0,2","40","700 m Bremsweg"
"2250","Datteln - Lünen Süd","Gegengleis","14,4","90","1000 m Bremsweg"
"2250","Datteln - Lünen Süd","Richtungsgleis","14,4","90","1000 m Bremsweg"
"2250","Recklinghausen Ost - Datteln","Gegengleis","7,8","100","1000 m Bremsweg"
"2250","Recklinghausen Ost - Datteln","Richtungsgleis","7,8","100","1000 m Bremsweg"
"2500","Krefeld Hbf - Krefeld-Linn","eingleisig","4,8","60","700 m Bremsweg"
"2253","Essen-Vogelheim - Oberhausen-Osterfeld","eingleisig","4,7","40","400 m Bremsweg"
"2525","Haan-Gruiten (Abzw) - Wuppertal-Vohwinkel","Gegengleis","5,5","120","1000 m Bremsweg"
"2525","Haan-Gruiten (Abzw) - Wuppertal-Vohwinkel","Richtungsgleis","5,5","120","1000 m Bremsweg"
"2106","Dortmund Hbf, W 255 - Dortmund Bbf","Gegengleis","1,8","60","700 m Bremsweg"
"2106","Dortmund Hbf, W 255 - Dortmund Bbf","Richtungsgleis","1,8","60","700 m Bremsweg"
"2645","Bonn-Endenich Nord - Bonn Helmholtzstraße","Gegengleis","1,7","110","700 m Bremsweg"
"2645","Bonn-Endenich Nord - Bonn Helmholtzstraße","Richtungsgleis","1,7","110","700 m Bremsweg"
"2645","Bonn Hbf - Bonn-Endenich Nord","Gegengleis","2,7","110","700 m Bremsweg"
"2645","Bonn Hbf - Bonn-Endenich Nord","Richtungsgleis","2,7","110","700 m Bremsweg"
"2620","Köln-Nippes - Köln-Nippes Wendeanlage","Gegengleis","0,3","80","1000 m Bremsweg"
"2620","Köln-Nippes - Köln-Nippes Wendeanlage","Richtungsgleis","0,3","80","700 m Bremsweg"
"2620","Köln-Nippes Wendeanlage - Köln Etzelstraße","Gegengleis","0,5","80","1000 m Bremsweg"
"2620","Köln-Nippes Wendeanlage - Köln Etzelstraße","Richtungsgleis","0,5","80","1000 m Bremsweg"
"2815","Meinerzhagen - Krummenerl","eingleisig","12,1","40","700 m Bremsweg"
"2326","Duisburg-Wedau - Duisburg-Hochfeld Süd","eingleisig","2,1","70","700 m Bremsweg"
"2810","Halver-Oberbrügge - Kierspe","eingleisig","8,8","80","700 m Bremsweg"
