"Münster Pleister","6","100"
"Gelsenkirchen Zoo","-36","41"
"Oberhausen-Osterfeld","-82","523"
"Essen-Eiberg","-46","44"
"Troisdorf","-108","44"
"Friedrich-Wilhelms-Hütte","-116","159"
"Düsseldorf-Oberbilk","-69","11"
"Wuppertal-Sonnborn","-66","40"
"Merzenich","-107","-18"
"Coesfeld (Westf)","4","46"
"Coesfeld Schulzentrum","5","47"
"Dortmund-Dorstfeld","-40","72"
"Essen-Karnap","-38","30"
"Duisburg-Meiderich Ost","-43","10"
"Duisburg-Wanheim","-51","5"
"Duisburg-Hochfeld Süd, 06W15","-49","5"
"Duisburg-Meiderich Süd","-43","8"
"Köln Messe/Deutz","-96","28"
"Dortmund Zinkhütte","-38","80"
"Münster-Roxel","5","83"
"Havixbeck","8","72"
"Dortmund-Barop","-41","71"
"Walsum","-37","2"
"Roisdorf","-114","31"
"Brühl Gbf","-107","21"
"Bonn Gbf","-117","40"
"Hennef Im Siegbogen","-113","61"
"Hennef (Sieg)","-109","91"
"Porz-Heumar, W 3109","-98","39"
"Ründeroth","-91","76"
"Osberghausen","-91","79"
"Düsseldorf-Eller Süd","-70","14"
"Köln Flughafen Nordost","-103","44"
"Gladbeck-Zweckel","-31","28"
"Essen-Steele","-45","38"
"Bochum West","-42","51"
"Rheydt Gbf","-73","-25"
"Viersen-Helenabrunn","-67","-28"
"Wickrath","-77","-29"
"Köln Hbf, W 72","-96","26"
"Datteln","-25","63"
"Recklinghausen Ost","-30","55"
"Krefeld Hbf","-57","-13"
"Essen-Vogelheim","-41","29"
"Haan-Gruiten (Abzw)","-68","31"
"Dortmund Hbf, W 255","-38","76"
"Bonn-Endenich Nord","-116","36"
"Bonn Hbf","-117","40"
"Köln-Nippes","-92","25"
"Köln-Nippes Wendeanlage","-93","25"
"Meinerzhagen","-79","95"
"Duisburg-Wedau","-51","9"
"Halver-Oberbrügge","-71","87"
"Lünen Hbf","-28","83"
"Bork (Westf)","-23","76"
"Oberhausen West","-41","18"
"Wengern Ost DB-Grenze","-53","-53"
"Trompet","-49","-2"
"Bochum Hbf, 14W216","-42","52"
"Wanne-Eickel Hbf, W 9","-37","47"
"Wanne-Eickel Bro","-39","48"
"Herne, W 365","-118","-267"
"Menden DB-Grenze","-53","-53"
"StrUeb2850_2853","-46","110"
"Unna, W 4","-36","99"
"StrUeb2146_2190","-43","62"
"Hürth-Kalscheuren, W 62","-102","21"
"Köln Messe/Deutz, W 631","-96","28"
"Bochum-Langendreer","-43","62"
"StrUeb2310_2311","-47","8"
"Düsseldorf Hbf, W 52","-68","9"
